City,Date,NO,NO2,NOx,CO,SO2,O3,Benzene,Toluene,Xylene
Chandigarh,27-06-2020,0.59,6.79,4.02,0.3,7.42,43.33,3.09,0.29,0.72
Chandigarh,28-06-2020,0.67,7.21,4.31,0.29,13.08,45.54,3.52,0.39,0.79
Chandigarh,29-06-2020,1.25,8.57,5.48,0.3,15.06,35.94,3.8,0.31,0.77
Chandigarh,30-06-2020,1.0,7.36,4.62,0.3,12.3,35.69,2.45,8.15,1.42
Chandigarh,01-07-2020,0.56,9.87,5.92,0.33,14.91,34.33,3.31,0.33,0.46
Delhi,01-09-2015,17.83,27.42,45.7,1.28,10.45,61.33,2.15,5.67,3.27
Delhi,02-09-2015,31.64,29.16,66.15,1.14,10.79,72.47,2.86,6.94,4.09
Delhi,03-09-2015,33.04,35.31,67.05,1.17,9.82,72.94,3.85,10.55,4.02
Delhi,05-09-2015,24.24,29.5,52.24,1.38,16.93,56.59,2.89,6.72,3.55
Delhi,06-09-2015,17.36,27.81,41.56,1.19,16.71,49.32,2.17,5.08,3.21
Delhi,08-09-2015,25.93,38.36,60.12,1.07,10.92,61.95,3.4,9.09,3.45
Delhi,09-09-2015,20.38,36.2,55.36,1.02,11.57,68.21,2.97,7.63,3.1
Delhi,10-09-2015,20.95,42.1,59.79,1.06,11.53,68.49,3.28,8.72,3.02
Delhi,11-09-2015,16.4,46.81,56.83,1.13,10.98,68.81,3.26,9.36,2.59
Delhi,12-09-2015,20.95,54.45,67.44,1.22,10.51,69.36,3.63,11.88,2.7
Delhi,13-09-2015,16.76,45.36,54.12,1.21,9.91,64.05,2.86,9.08,2.47
Delhi,15-09-2015,14.94,56.31,63.58,1.37,10.4,75.63,3.91,19.34,2.86
Delhi,16-09-2015,8.55,46.44,42.94,1.15,9.27,69.61,2.78,9.65,2.61
Delhi,18-09-2015,14.26,43.3,48.2,1.22,10.85,48.8,3.03,9.92,2.43
Delhi,19-09-2015,19.82,49.83,58.37,1.14,9.75,51.78,3.31,12.59,2.14
Delhi,20-09-2015,20.17,62.73,62.49,1.1,9.27,58.49,3.04,11.4,2.47
Delhi,21-09-2015,14.64,62.69,56.18,1.16,13.55,48.02,2.71,7.95,3.01
Delhi,22-09-2015,12.73,38.78,41.5,0.95,11.57,39.83,2.38,6.62,3.07
Delhi,23-09-2015,16.55,31.17,43.75,0.98,12.34,37.26,2.44,6.8,3.42
Delhi,28-09-2015,24.23,43.41,63.74,1.25,10.38,53.82,3.63,10.87,3.38
Delhi,29-09-2015,22.57,48.19,64.14,1.16,10.68,54.68,3.93,10.32,3.2
Delhi,30-09-2015,17.52,42.91,53.3,1.1,9.59,52.91,3.64,8.94,3.28
Delhi,13-10-2015,25.13,48.92,64.57,1.89,11.84,73.28,4.2,16.19,2.24
Delhi,14-10-2015,14.33,43.47,53.25,1.61,10.89,67.89,3.12,11.08,1.99
Delhi,17-10-2015,38.65,20.29,55.07,1.62,7.56,44.21,3.83,12.78,1.68
Delhi,18-10-2015,27.5,41.09,62.19,1.63,10.14,71.1,4.64,12.33,1.93
Delhi,30-10-2015,24.98,42.63,55.71,2.29,18.92,60.56,2.75,7.03,1.96
Delhi,31-10-2015,36.55,35.11,58.72,1.74,17.66,42.32,1.95,4.3,1.94
Delhi,26-09-2017,23.12,27.52,18.35,0.6,7.13,30.45,0.25,1.38,0.13
Delhi,27-09-2017,26.98,21.39,22.31,0.61,6.62,29.26,0.35,1.74,0.12
Delhi,29-09-2017,37.45,29.45,18.61,0.45,7.17,40.26,0.44,1.82,0.13
Delhi,30-09-2017,21.1,26.08,8.59,0.3,6.64,38.44,0.22,1.73,0.1
Delhi,01-10-2017,25.43,28.66,14.66,0.46,3.46,32.9,0.46,2.34,0.03
Delhi,02-10-2017,22.86,25.2,12.1,0.43,2.94,30.1,0.54,2.43,0.05
Delhi,03-10-2017,22.75,26.09,11.47,0.2,5.81,34.34,0.24,1.27,0.1
Delhi,04-10-2017,24.88,28.99,14.09,0.19,11.7,35.79,0.35,2.07,0.08
Delhi,05-10-2017,15.35,24.45,13.8,0.27,11.96,36.81,0.25,1.59,0.09
Delhi,06-10-2017,14.82,27.44,12.19,0.33,13.91,38.67,0.39,2.11,0.15
Delhi,07-10-2017,17.2,25.61,14.27,0.32,22.29,34.44,0.27,1.72,0.09
Delhi,08-10-2017,20.71,24.51,14.05,0.24,24.0,35.32,0.31,2.14,0.09
Delhi,09-10-2017,33.9,27.06,17.82,0.24,23.51,31.11,0.57,2.97,0.09
Delhi,10-10-2017,23.0,31.67,13.81,0.26,7.6,30.89,0.63,3.28,0.1
Delhi,11-10-2017,25.09,30.92,14.22,0.25,6.57,29.67,0.68,2.71,0.1
Delhi,12-10-2017,21.91,31.1,12.39,0.33,7.65,35.14,0.71,2.56,0.08
Delhi,13-10-2017,31.87,29.16,14.41,0.33,9.36,37.98,0.6,2.34,0.09
Delhi,15-10-2017,41.91,30.0,15.25,0.33,14.31,37.15,0.89,3.62,0.09
Delhi,16-10-2017,48.82,58.53,40.14,1.02,23.09,30.49,0.86,3.42,0.09
Delhi,17-10-2017,48.01,57.08,49.91,1.36,17.44,30.46,0.99,3.39,0.09
Delhi,21-10-2017,42.71,50.13,49.3,1.46,20.55,34.52,0.88,4.02,0.07
Delhi,01-11-2017,29.65,46.83,43.9,1.13,16.01,56.79,1.43,6.36,0.07
Delhi,02-11-2017,26.09,47.7,56.86,1.4,17.19,61.91,2.51,9.71,0.07
Delhi,03-11-2017,45.29,46.49,60.96,1.31,15.29,62.16,2.74,6.06,0.07
Delhi,18-11-2017,20.23,43.91,50.62,1.16,13.3,37.68,2.29,5.38,0.08
Delhi,19-11-2017,19.58,45.6,55.24,1.2,15.12,47.8,2.04,5.24,0.09
Delhi,20-11-2017,24.44,52.73,64.19,1.3,13.7,54.08,2.38,6.34,0.1
Delhi,07-12-2017,24.67,45.83,39.33,1.49,18.17,41.43,2.6,7.35,0.1
Delhi,08-12-2017,23.86,53.85,3.63,1.56,21.69,50.26,3.13,7.98,0.1
Delhi,12-12-2017,22.41,45.94,3.04,1.51,11.71,38.75,1.96,6.88,0.11
Delhi,13-12-2017,20.14,40.27,2.59,1.34,10.81,46.28,2.51,6.59,0.11
Delhi,14-12-2017,19.4,36.59,2.33,1.31,11.18,42.19,2.18,5.87,0.11
Delhi,15-12-2017,20.33,34.73,3.26,1.28,9.69,38.04,1.89,4.83,0.11
Delhi,16-12-2017,17.77,29.84,2.87,1.06,4.98,23.98,1.92,2.85,0.1
Delhi,17-12-2017,17.4,37.37,2.44,1.2,12.68,36.4,1.87,3.48,0.12
Delhi,18-12-2017,20.4,45.8,2.15,1.28,16.97,45.37,2.46,6.42,0.1
Delhi,19-12-2017,35.44,54.84,4.37,1.48,23.03,49.68,3.93,10.74,0.1
Delhi,20-12-2017,44.05,66.41,5.96,1.91,25.0,67.35,4.65,14.07,0.05
Delhi,21-12-2017,32.3,61.63,3.57,1.45,22.54,66.06,4.12,10.87,0.08
Delhi,22-12-2017,22.11,50.73,2.69,1.17,20.47,48.84,2.88,7.93,0.19
Delhi,23-12-2017,31.51,50.97,3.61,1.54,19.95,43.85,3.9,9.81,0.28
Delhi,26-12-2017,46.41,57.6,6.18,1.57,22.1,38.93,5.37,12.99,0.42
Delhi,02-01-2018,31.26,53.73,4.26,1.52,12.43,68.68,3.98,9.71,0.27
Delhi,03-01-2018,37.98,52.24,2.87,1.29,10.28,54.94,3.09,6.6,0.21
Delhi,04-01-2018,35.56,61.57,4.24,1.36,14.42,66.31,3.79,8.2,0.39
Delhi,05-01-2018,38.73,54.8,4.57,1.38,13.2,48.57,3.63,8.14,0.26
Delhi,07-01-2018,26.49,47.02,4.99,1.3,16.27,57.39,3.19,6.5,0.22
Delhi,08-01-2018,37.51,51.6,5.28,1.33,17.15,54.55,3.36,7.87,0.34
Delhi,10-01-2018,34.44,60.21,3.98,1.4,18.98,58.51,3.26,7.3,0.7
Delhi,11-01-2018,30.06,63.57,3.47,1.47,17.4,56.22,3.27,6.83,0.7
Delhi,12-01-2018,40.02,65.3,3.73,1.56,24.03,62.37,4.23,11.32,1.39
Delhi,14-01-2018,36.32,54.37,1.87,1.72,22.47,64.8,4.3,10.03,1.71
Delhi,15-01-2018,32.47,52.51,2.15,1.42,19.12,59.73,3.26,7.7,1.26
Delhi,16-01-2018,31.78,46.86,3.92,1.36,19.06,54.0,3.09,9.36,0.4
Delhi,17-01-2018,44.3,47.86,34.61,1.61,14.48,64.1,4.22,12.58,0.32
Delhi,20-01-2018,21.5,38.87,53.34,1.31,14.45,43.18,2.37,4.43,0.0
Delhi,21-01-2018,33.93,44.09,63.87,1.51,16.91,41.49,2.74,7.02,0.0
Delhi,23-01-2018,25.98,47.26,67.65,1.43,14.25,48.67,2.68,6.67,0.0
Delhi,24-01-2018,25.05,35.33,56.27,1.32,11.9,42.04,2.26,6.23,0.0
Delhi,25-01-2018,24.28,40.13,48.6,1.37,6.84,43.99,2.22,3.87,0.3
Delhi,26-01-2018,28.91,38.17,57.6,1.43,7.99,44.09,2.46,3.7,0.6
Delhi,27-01-2018,34.29,45.14,60.99,1.4,7.94,56.12,2.29,4.87,0.52
Delhi,30-01-2018,23.71,47.59,51.3,2.0,14.47,56.85,1.84,4.26,0.49
Delhi,01-02-2018,38.37,63.88,67.65,1.62,18.67,60.7,2.08,5.48,0.62
Delhi,03-02-2018,27.97,51.46,64.81,1.29,14.2,52.29,1.35,4.57,0.45
Delhi,04-02-2018,22.5,46.74,56.52,1.3,13.2,52.23,1.44,3.23,0.4
Delhi,06-02-2018,28.45,56.51,67.62,1.21,14.94,41.11,1.74,4.88,0.42
Delhi,07-02-2018,26.04,54.53,55.33,1.18,14.58,49.34,1.64,3.92,0.36
Delhi,12-02-2018,16.51,33.08,42.62,0.97,8.58,37.47,0.8,2.11,0.29
Delhi,14-02-2018,16.31,34.92,44.75,0.96,9.03,38.43,1.02,2.66,0.23
Delhi,15-02-2018,16.78,38.54,47.11,1.03,11.47,40.95,1.16,2.82,0.16
Delhi,16-02-2018,24.78,48.33,60.03,1.21,12.49,38.4,1.52,3.48,0.21
Delhi,17-02-2018,24.55,49.9,60.9,1.27,15.01,44.13,1.73,3.91,0.33
Delhi,18-02-2018,35.15,50.94,67.43,1.36,12.17,45.75,2.15,3.78,0.31
Delhi,25-02-2018,25.0,42.88,59.15,1.0,14.34,43.87,2.05,3.94,0.2
Delhi,26-02-2018,14.44,33.59,43.27,0.88,9.64,43.19,1.09,2.1,0.05
Delhi,27-02-2018,24.54,43.12,56.44,1.15,10.72,40.51,1.93,3.03,0.06
Delhi,03-03-2018,26.84,41.07,59.03,1.18,12.93,38.38,1.85,3.67,0.57
Delhi,04-03-2018,25.27,39.02,56.08,0.99,12.95,34.95,1.63,2.92,0.14
Delhi,05-03-2018,24.87,39.58,56.62,0.99,12.7,40.45,1.39,2.92,0.0
Delhi,06-03-2018,15.1,37.92,44.67,0.94,12.99,44.99,1.26,2.83,0.0
Delhi,07-03-2018,25.71,45.6,54.4,1.11,13.23,45.24,1.7,3.57,0.0
Delhi,10-03-2018,16.27,39.85,47.05,0.95,14.8,41.74,1.36,4.0,0.0
Delhi,11-03-2018,23.14,41.81,55.86,1.08,15.41,46.28,1.28,3.12,0.0
Delhi,12-03-2018,28.38,45.32,65.27,1.18,17.48,44.49,1.29,3.51,0.0
Delhi,15-03-2018,36.34,48.86,66.89,1.23,16.08,37.77,3.53,5.3,0.0
Delhi,16-03-2018,27.56,41.48,62.19,1.09,16.61,43.04,4.14,4.59,0.0
Delhi,17-03-2018,21.81,32.61,44.69,1.09,13.63,37.89,1.73,2.68,0.0
Delhi,18-03-2018,18.88,31.72,41.03,1.2,17.22,45.83,0.93,2.17,0.0
Delhi,19-03-2018,28.38,43.85,62.83,1.1,16.95,44.89,1.06,4.02,0.0
Delhi,21-03-2018,30.35,45.33,66.03,1.36,24.36,52.82,4.03,5.93,0.0
Delhi,22-03-2018,13.53,33.49,41.53,1.0,17.14,45.99,1.92,3.93,0.0
Delhi,23-03-2018,14.86,34.53,42.49,0.89,12.75,46.6,1.57,3.61,0.0
Delhi,24-03-2018,15.2,37.32,44.39,0.91,14.56,50.02,2.36,3.53,0.0
Delhi,25-03-2018,11.77,34.66,41.31,0.96,15.57,54.47,1.74,2.91,0.0
Delhi,26-03-2018,19.04,41.2,51.42,1.06,16.28,52.72,2.64,3.4,0.0
Delhi,29-03-2018,17.1,41.56,49.23,1.01,16.53,57.43,2.72,3.78,0.0
Delhi,30-03-2018,21.45,45.84,58.22,1.11,15.95,58.75,3.12,5.64,0.0
Delhi,31-03-2018,25.6,44.76,57.92,1.17,16.59,67.56,2.96,5.24,0.0
Delhi,01-04-2018,15.98,37.97,46.42,1.01,14.13,68.76,2.97,3.11,0.0
Delhi,02-04-2018,26.07,48.52,64.03,1.22,16.54,64.33,3.33,4.77,0.0
Delhi,03-04-2018,27.42,51.63,66.35,1.28,17.36,67.6,3.22,4.13,0.0
Delhi,06-04-2018,25.66,44.92,62.14,1.42,19.96,54.04,2.64,4.14,0.0
Delhi,07-04-2018,18.92,36.94,50.39,1.12,10.48,54.42,1.43,3.32,0.0
Delhi,08-04-2018,13.22,34.29,41.32,1.09,10.5,56.29,0.95,2.63,0.0
Delhi,09-04-2018,24.07,39.45,53.81,1.35,10.77,42.76,2.34,4.47,0.0
Delhi,10-04-2018,35.24,45.16,65.04,1.57,12.65,60.94,4.38,13.51,0.0
Delhi,11-04-2018,16.25,32.33,41.68,0.99,11.21,46.34,4.24,11.48,0.0
Delhi,12-04-2018,20.89,40.94,49.98,1.3,10.07,48.2,4.98,6.09,0.0
Delhi,13-04-2018,34.37,54.68,64.81,1.78,13.37,47.74,1.6,3.64,0.0
Delhi,18-04-2018,16.91,40.44,46.57,1.04,13.29,51.01,1.72,2.79,0.0
Delhi,19-04-2018,27.08,51.78,62.47,1.19,16.76,53.3,2.44,3.63,0.0
Delhi,20-04-2018,20.62,40.56,49.75,0.91,15.55,48.98,2.23,3.71,0.0
Delhi,21-04-2018,9.64,30.99,35.73,0.89,12.08,61.05,1.13,2.73,0.0
Delhi,22-04-2018,9.34,31.63,35.38,0.85,16.92,60.81,1.43,2.24,0.0
Delhi,23-04-2018,17.48,39.43,43.95,1.03,12.89,63.78,1.83,3.31,0.0
Delhi,24-04-2018,27.8,57.07,61.05,1.28,17.01,59.45,3.36,5.14,0.0
Delhi,27-04-2018,22.69,49.86,54.16,1.41,12.96,69.49,2.86,4.75,0.0
Delhi,28-04-2018,11.33,36.11,41.23,1.14,12.38,75.5,1.7,3.23,0.0
Delhi,29-04-2018,13.32,42.57,48.22,1.26,16.1,69.07,1.87,3.3,0.0
Delhi,30-04-2018,21.81,46.42,58.38,1.12,11.9,60.39,1.71,3.66,0.0
Delhi,01-05-2018,11.11,33.37,41.04,0.81,8.8,65.54,1.18,1.91,0.0
Delhi,02-05-2018,14.43,34.14,42.86,1.02,7.65,64.55,1.19,1.84,0.0
Delhi,03-05-2018,15.63,31.77,40.96,1.23,9.52,50.16,0.94,2.3,0.0
Delhi,04-05-2018,11.61,30.44,37.96,1.17,9.06,59.09,1.41,2.55,0.0
Delhi,05-05-2018,23.26,46.75,55.93,1.74,11.85,59.48,2.46,4.28,0.0
Delhi,08-05-2018,10.01,27.66,32.84,1.31,6.97,61.42,1.37,2.67,0.0
Delhi,09-05-2018,19.68,46.09,56.74,1.46,12.35,53.1,1.93,4.49,0.0
Delhi,13-05-2018,17.22,31.22,44.1,2.1,11.48,67.88,1.31,2.15,0.0
Delhi,14-05-2018,13.4,40.3,41.85,2.05,11.3,56.2,1.07,2.34,0.0
Delhi,15-05-2018,13.34,39.81,43.92,1.91,11.9,62.52,1.85,3.06,0.0
Delhi,16-05-2018,16.47,41.79,45.65,1.11,9.25,54.41,2.59,3.61,0.0
Delhi,17-05-2018,17.3,44.14,44.55,0.85,13.61,70.39,1.84,3.94,0.0
Delhi,18-05-2018,27.74,53.88,63.16,1.07,13.97,58.67,3.02,5.04,0.0
Delhi,20-05-2018,20.35,45.88,50.04,1.08,12.65,55.77,2.72,5.24,0.0
Delhi,21-05-2018,14.16,42.68,48.33,0.91,12.73,60.27,3.04,5.34,0.0
Delhi,22-05-2018,28.41,59.07,60.5,1.17,15.56,59.41,3.53,6.23,0.0
Delhi,24-05-2018,37.09,57.51,67.13,1.34,17.78,53.43,3.1,6.97,0.0
Delhi,25-05-2018,42.75,59.34,63.04,1.31,12.73,48.95,4.03,6.57,0.0
Delhi,26-05-2018,41.7,64.88,61.71,1.47,14.9,49.85,4.77,6.65,0.0
Delhi,27-05-2018,31.92,58.31,57.05,1.1,11.59,56.75,3.73,4.64,0.0
Delhi,28-05-2018,29.36,54.01,57.51,1.33,15.54,59.11,2.77,5.02,0.0
Delhi,29-05-2018,41.22,60.34,66.84,1.4,11.93,59.1,3.88,5.4,0.0
Delhi,30-05-2018,13.19,33.21,42.64,0.95,8.58,59.9,1.2,1.85,0.0
Delhi,31-05-2018,14.54,40.76,44.17,1.0,9.71,50.6,1.88,3.53,0.0
Delhi,01-06-2018,8.65,30.14,33.87,0.81,8.24,58.87,1.48,3.18,0.0
Delhi,02-06-2018,12.65,29.28,35.13,0.98,9.08,60.12,1.51,3.67,0.0
Delhi,03-06-2018,16.93,31.51,43.09,0.84,7.79,57.87,1.32,3.37,0.0
Delhi,04-06-2018,14.32,30.68,38.57,0.81,8.14,57.03,2.13,3.41,0.0
Delhi,05-06-2018,9.58,27.67,32.62,0.82,7.51,48.46,2.52,4.69,0.0
Delhi,06-06-2018,8.99,31.11,33.05,0.88,9.34,48.47,2.71,6.46,0.0
Delhi,07-06-2018,10.21,33.8,37.99,0.96,10.1,60.18,4.76,6.4,0.0
Delhi,08-06-2018,9.8,31.27,36.1,0.95,7.75,54.22,2.56,4.55,0.0
Delhi,09-06-2018,10.94,27.39,36.36,0.9,6.41,41.95,2.72,4.57,0.0
Delhi,10-06-2018,16.94,34.23,38.52,0.93,7.35,45.16,2.67,7.04,0.0
Delhi,11-06-2018,11.9,34.85,35.75,0.9,6.94,46.66,2.57,5.41,0.0
Delhi,12-06-2018,11.06,31.72,34.01,0.87,8.73,37.85,2.26,6.1,0.0
Delhi,13-06-2018,11.58,25.75,30.62,0.77,6.91,27.45,2.33,4.31,0.0
Delhi,14-06-2018,11.75,25.37,29.01,0.72,7.22,43.38,2.25,9.35,0.0
Delhi,15-06-2018,12.05,24.61,29.31,0.7,7.31,40.15,2.98,10.64,0.0
Delhi,16-06-2018,10.15,25.0,29.76,0.68,7.29,45.76,3.36,5.58,0.0
Delhi,17-06-2018,8.45,22.78,27.88,0.68,6.18,44.56,2.78,6.3,0.0
Delhi,18-06-2018,11.44,26.68,31.17,0.77,7.71,46.41,2.82,8.24,0.0
Delhi,19-06-2018,10.85,26.52,29.02,0.68,6.5,53.39,3.73,8.34,0.03
Delhi,20-06-2018,13.82,33.71,37.25,0.77,10.05,60.2,4.51,10.83,0.0
Delhi,21-06-2018,11.17,34.82,35.93,0.75,9.73,66.75,3.89,11.19,0.0
Delhi,25-06-2018,10.81,34.92,31.12,0.74,12.17,39.06,1.93,11.0,2.05
Delhi,26-06-2018,8.89,34.16,26.14,0.72,13.16,33.09,1.81,17.81,0.76
Delhi,27-06-2018,9.03,31.0,25.96,0.84,10.43,44.04,2.24,22.29,1.31
Delhi,28-06-2018,8.68,29.01,23.9,0.76,8.48,33.17,1.65,18.35,0.44
Delhi,29-06-2018,10.99,30.43,26.78,0.87,9.36,31.43,2.22,17.18,1.01
Delhi,30-06-2018,10.42,32.89,28.23,0.91,9.55,31.21,2.3,21.04,1.02
Delhi,01-07-2018,10.82,28.46,26.45,0.78,8.53,28.09,1.56,20.66,1.0
Delhi,02-07-2018,7.87,25.74,22.61,0.65,8.82,33.79,0.98,15.01,0.37
Delhi,03-07-2018,11.74,37.27,32.19,0.86,10.11,39.78,1.82,21.86,1.98
Delhi,07-07-2018,8.99,34.43,28.17,0.9,10.4,53.82,2.06,24.89,2.46
Delhi,09-07-2018,9.06,35.14,28.69,0.93,11.0,54.8,1.66,20.19,1.01
Delhi,10-07-2018,7.74,28.19,24.09,0.81,10.92,43.89,1.07,17.31,0.24
Delhi,11-07-2018,8.76,31.82,26.63,0.84,11.26,34.6,1.49,21.21,0.39
Delhi,12-07-2018,10.21,34.22,28.48,0.76,10.92,45.16,1.49,21.79,1.1
Delhi,13-07-2018,12.27,31.94,29.09,0.88,10.69,26.96,1.55,24.0,0.99
Delhi,15-07-2018,8.28,28.9,25.51,0.78,10.64,28.01,1.19,21.78,0.41
Delhi,19-07-2018,10.58,27.41,25.71,0.8,11.14,31.96,1.31,22.7,0.47
Delhi,22-07-2018,12.14,27.55,27.12,0.83,9.85,24.91,1.28,23.18,0.63
Delhi,23-07-2018,14.28,28.74,29.43,0.81,10.43,26.11,1.39,23.1,0.48
Delhi,24-07-2018,12.18,29.15,26.72,0.83,10.78,34.46,1.5,24.69,0.45
Delhi,28-07-2018,13.43,21.59,24.43,0.73,9.55,24.11,1.36,22.84,0.45
Delhi,29-07-2018,18.34,25.02,30.46,0.74,9.37,26.19,1.24,22.57,0.44
Delhi,30-07-2018,15.98,25.06,28.28,0.8,8.96,28.09,1.08,22.42,0.29
Delhi,31-07-2018,15.59,28.84,30.1,0.91,9.12,27.81,1.28,24.33,0.57
Delhi,01-08-2018,19.92,26.14,32.34,0.94,9.71,29.94,1.38,22.32,0.28
Delhi,02-08-2018,20.56,25.2,32.61,0.86,10.22,29.3,1.47,23.26,0.31
Delhi,03-08-2018,19.1,26.08,31.73,0.78,9.48,28.1,1.4,20.79,0.21
Delhi,04-08-2018,19.25,28.77,32.96,0.76,9.61,29.61,1.23,22.81,0.33
Delhi,05-08-2018,17.71,24.82,29.73,0.71,9.86,25.4,1.08,17.19,0.4
Delhi,06-08-2018,19.28,26.59,32.23,0.9,9.4,27.42,1.44,22.79,0.49
Delhi,07-08-2018,18.64,26.15,31.04,0.98,10.65,32.06,1.55,24.7,0.59
Delhi,08-08-2018,19.04,25.24,30.33,1.02,9.47,31.12,1.55,23.23,0.58
Delhi,09-08-2018,17.18,24.98,29.1,0.89,9.85,34.11,1.37,21.43,0.47
Delhi,11-08-2018,18.61,24.06,28.8,0.7,8.84,27.66,1.28,22.4,0.27
Delhi,12-08-2018,14.86,23.5,25.93,0.66,9.09,23.92,0.97,20.03,0.1
Delhi,13-08-2018,16.15,25.04,28.15,0.84,9.26,27.7,1.11,23.38,0.09
Delhi,21-08-2018,11.76,27.85,26.25,1.02,11.99,31.02,1.09,20.9,0.09
Delhi,26-08-2018,9.89,19.92,20.16,0.6,10.31,24.77,0.96,20.49,0.08
Delhi,27-08-2018,10.67,23.6,23.07,0.78,10.82,26.5,1.31,23.78,0.07
Delhi,09-09-2018,10.53,23.58,24.12,0.72,10.98,26.36,1.05,17.3,0.14
Delhi,10-09-2018,15.56,29.61,30.96,0.88,11.21,29.46,1.29,20.47,0.23
Delhi,11-09-2018,19.0,26.0,32.0,0.78,9.77,23.21,1.36,24.81,0.06
Delhi,12-09-2018,17.17,24.4,29.28,0.71,10.31,22.44,1.44,25.14,0.03
Delhi,13-09-2018,19.96,23.21,30.78,0.63,11.24,23.11,1.28,24.6,0.03
Delhi,14-09-2018,20.52,25.18,32.01,0.7,11.21,24.58,1.44,24.24,0.07
Delhi,15-09-2018,26.65,27.72,37.7,0.8,11.74,25.86,2.29,24.43,0.12
Delhi,16-09-2018,21.14,25.92,31.12,0.72,11.14,26.12,1.78,23.98,0.0
Delhi,17-09-2018,22.25,29.15,33.99,0.78,11.12,35.01,1.68,21.94,0.01
Delhi,18-09-2018,15.0,29.8,28.63,0.75,11.95,38.79,1.71,23.97,0.0
Delhi,21-09-2018,11.6,26.7,24.32,0.75,12.74,30.31,1.98,22.78,0.01
Delhi,22-09-2018,10.07,21.72,19.92,0.73,11.11,23.89,1.7,24.61,0.01
Delhi,23-09-2018,7.37,19.88,16.84,0.67,11.59,28.89,1.4,17.36,0.0
Delhi,24-09-2018,14.91,25.07,25.46,0.74,11.08,19.54,2.44,21.7,0.0
Delhi,04-11-2018,14.18,34.18,30.79,1.0,15.01,51.96,2.56,19.99,0.31
Delhi,06-11-2018,23.48,43.78,44.84,1.29,15.37,45.01,3.88,24.85,0.75
Delhi,07-11-2018,30.57,45.14,52.43,1.44,19.39,51.22,4.15,20.77,0.44
Delhi,16-11-2018,19.55,42.41,41.05,1.24,14.2,40.74,3.27,24.64,0.86
Delhi,08-01-2019,31.32,48.95,54.76,1.31,14.67,27.37,4.16,24.24,0.4
Delhi,09-01-2019,26.14,49.49,50.88,1.3,15.09,30.9,3.91,22.96,0.5
Delhi,14-01-2019,18.5,42.16,40.87,1.04,15.05,31.33,2.77,19.45,0.1
Delhi,15-01-2019,36.34,52.45,61.72,1.37,17.09,29.85,3.88,24.31,0.3
Delhi,22-01-2019,14.1,38.56,34.22,1.01,11.87,27.01,2.16,19.7,0.1
Delhi,26-01-2019,15.3,38.43,35.94,0.98,14.48,35.41,2.57,16.99,0.03
Delhi,27-01-2019,19.78,45.27,42.16,1.1,15.89,33.34,3.13,19.33,0.05
Delhi,28-01-2019,22.97,49.13,46.7,1.06,15.76,33.6,3.19,20.16,0.17
Delhi,02-02-2019,17.57,35.89,35.82,1.24,11.55,30.88,3.93,22.16,0.12
Delhi,03-02-2019,20.77,34.53,37.93,1.32,11.7,29.44,3.28,20.96,0.14
Delhi,07-02-2019,12.05,30.8,27.94,0.84,11.12,30.25,2.15,16.32,2.96
Delhi,08-02-2019,31.23,39.24,49.45,0.94,12.66,30.59,2.78,24.72,4.03
Delhi,09-02-2019,22.67,38.31,41.45,0.96,13.25,33.55,2.51,21.49,0.78
Delhi,15-02-2019,25.13,44.28,45.94,1.22,15.38,28.15,3.64,24.5,2.02
Delhi,16-02-2019,17.27,33.33,33.34,1.13,12.92,26.45,2.79,20.22,0.76
Delhi,17-02-2019,23.24,42.59,41.77,1.09,15.14,34.81,2.82,20.46,0.95
Delhi,22-02-2019,25.55,33.95,41.61,1.07,13.94,28.45,3.24,24.76,2.66
Delhi,23-02-2019,11.62,36.12,30.5,0.85,15.66,37.26,2.09,15.68,0.89
Delhi,24-02-2019,19.34,46.26,42.89,1.03,18.99,38.02,2.43,22.6,0.92
Delhi,27-02-2019,14.25,35.07,33.41,0.79,12.52,31.38,1.67,20.26,0.73
Delhi,05-03-2019,18.77,40.05,37.94,1.01,14.26,36.3,2.73,21.24,0.33
Delhi,10-03-2019,20.28,44.17,43.2,0.96,16.36,44.11,3.34,22.35,0.61
Delhi,16-03-2019,15.28,40.6,37.43,0.92,15.72,43.66,2.82,19.21,0.27
Delhi,21-03-2019,20.46,34.63,37.11,1.34,19.99,46.64,4.69,20.48,0.29
Delhi,22-03-2019,13.54,32.19,28.73,0.74,16.06,46.73,1.85,12.49,0.19
Delhi,23-03-2019,8.76,34.57,27.32,0.89,17.52,52.24,2.27,14.11,0.25
Delhi,24-03-2019,12.55,34.25,30.81,0.82,19.06,42.57,2.1,18.18,0.21
Delhi,25-03-2019,11.9,34.84,30.48,0.93,20.19,36.06,2.59,18.57,0.26
Delhi,26-03-2019,16.61,40.8,37.75,1.04,19.26,41.35,3.25,20.89,0.32
Delhi,31-03-2019,15.14,38.42,35.27,0.94,18.9,48.72,2.54,19.16,0.82
Delhi,01-04-2019,11.3,38.55,32.02,0.88,20.09,54.95,2.46,14.87,0.58
Delhi,08-04-2019,24.07,45.87,47.31,1.06,15.1,51.32,2.83,23.2,0.43
Delhi,14-04-2019,15.19,36.61,34.28,1.02,20.65,41.86,2.02,20.11,0.71
Delhi,15-04-2019,29.69,41.92,50.81,1.28,22.2,42.3,2.74,25.15,0.8
